Meter Id,Date,Time,Electricity Reading (kWh)
999-999-999,28-01-2020,14:30:11,1000.0
999-999-909,28-01-2020,14:30:11,1000.0
999-999-999,28-01-2020,14:30:11,1.0
999-999-999,28-01-2020,14:31:11,2.0
999-999-999,28-01-2020,14:32:11,3.0
999-999-999,28-01-2020,14:33:11,4.0
999-999-999,28-01-2020,14:34:11,5.0
999-999-999,28-01-2020,14:30:11,1.0
999-999-999,28-01-2020,14:31:11,2.0
999-999-999,28-01-2020,14:32:11,3.0
999-999-999,28-01-2020,14:31:11,1.0
999-999-999,28-01-2020,14:31:11,1.0
999-999-999,28-01-2020,14:32:11,2.0
999-999-999,28-01-2020,14:33:11,3.0
999-999-999,28-01-2020,14:34:11,4.0
999-999-999,29-01-2020,14:34:11,2.0
999-999-999,28-01-2020,14:31:11,1.0
999-999-999,28-01-2020,14:32:11,2.0
999-999-999,28-01-2020,14:33:11,3.0
999-999-999,29-01-2020,12:31:11,1.0
999-999-999,29-01-2020,12:32:11,2.0
999-999-999,29-01-2020,12:33:11,3.0
999-999-999,29-01-2020,12:34:11,4.0
999-999-999,29-01-2020,12:30:11,1.0
999-999-999,29-01-2020,12:30:11,1.0
999-999-999,29-01-2020,12:30:11,2.0
999-999-999,28-01-2020,14:31:11,1.0
999-999-999,28-01-2020,14:32:11,2.0
999-999-999,28-01-2020,14:33:11,3.0
999-999-999,29-01-2020,14:33:11,3.0
999-999-999,29-01-2020,14:33:11,4.0
999-999-999,29-01-2020,14:33:11,5.0
999-999-999,29-01-2020,14:33:11,6.0
999-999-999,20-02-2020,14:33:11,1.0
999-999-999,20-02-2025,14:33:11,1.0
999-999-999,20-02-2025,14:33:11,2.0
999-999-999,20-02-2025,14:33:11,3.0
999-999-999,20-02-2025,14:33:11,1.0
999-999-999,20-02-2025,14:33:11,2.0
999-999-999,20-02-2025,14:33:11,3.0
999-999-999,20-02-2025,14:33:11,4.0
999-999-999,21-02-2025,14:33:11,5.0
999-999-999,21-02-2025,14:33:11,7.0
999-999-999,21-02-2025,14:33:11,9.0
